area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1859,3.0,3.0,141.46
Super built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2482,4.0,3.0,146.07
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1915,3.0,0.0,134.61
Built-up  Area,Ready To Move,Koramangala,4 BHK,GrnSpce,2236,4.0,0.0,297.72
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1515,3.0,3.0,66.56
Plot  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,953,2.0,2.0,52.56
Super built-up  Area,Ready To Move,Marathahalli,1 BHK,GrnSpce,585,1.0,2.0,34.59
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1575,3.0,1.0,69.92
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1807,4.0,0.0,181.13
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1299,2.0,1.0,197.72
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1187,2.0,1.0,48.56
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,GrnSpce,734,2.0,1.0,35.52
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1404,3.0,3.0,110.18
Carpet  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1668,3.0,3.0,123.21
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1174,2.0,2.0,108.1
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1912,3.0,1.0,120.96
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1171,3.0,0.0,71.05
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,985,2.0,0.0,65.48
Super built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,737,1.0,1.0,94.03
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,999,2.0,0.0,60.97
Built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1724,3.0,0.0,189.17
Super built-up  Area,Ready To Move,Electronic City,1 BHK,GrnSpce,583,1.0,2.0,30.29
Carpet  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1826,3.0,0.0,71.93
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,994,2.0,3.0,105.25
Plot  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1817,3.0,1.0,77.91
Carpet  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1676,4.0,3.0,55.53
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1126,2.0,3.0,95.51
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1436,4.0,3.0,90.08
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1672,3.0,1.0,226.45
Built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1844,3.0,3.0,342.16
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1283,3.0,2.0,133.29
Plot  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,952,2.0,2.0,34.75
Built-up  Area,Ready To Move,Thanisandra,1 BHK,GrnSpce,641,1.0,2.0,31.44
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1473,4.0,0.0,199.39
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1067,2.0,0.0,48.8
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1899,4.0,1.0,83.55
Built-up  Area,Ready To Move,Thanisandra,5 BHK,GrnSpce,4775,5.0,1.0,235.74
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1119,2.0,1.0,80.27
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,900,2.0,0.0,41.63
Built-up  Area,Ready To Move,Uttarahalli,1 BHK,GrnSpce,633,1.0,0.0,32.7
Super built-up  Area,Ready To Move,Indiranagar,4 BHK,GrnSpce,2279,4.0,0.0,326.21
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1632,3.0,2.0,106.21
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1158,2.0,1.0,85.89
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1085,2.0,3.0,80.98
Built-up  Area,Ready To Move,Yelahanka,4 BHK,GrnSpce,3158,5.0,1.0,140.47
Built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1289,3.0,0.0,66.79
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1641,3.0,3.0,79.14
Plot  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1240,3.0,2.0,88.45
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1910,3.0,2.0,90.68
Plot  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,922,2.0,2.0,44.01
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1477,3.0,0.0,75.9
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,933,2.0,3.0,73.13
Built-up  Area,Ready To Move,Marathahalli,1 BHK,GrnSpce,617,1.0,1.0,39.78
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1800,4.0,0.0,235.29
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,965,2.0,1.0,73.85
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1207,2.0,2.0,48.52
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1505,3.0,2.0,87.4
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1442,3.0,1.0,64.53
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,994,2.0,3.0,49.63
Plot  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1054,3.0,2.0,82.31
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1404,3.0,0.0,48.97
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,945,2.0,1.0,47.68
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1148,2.0,1.0,185.42
Built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,GrnSpce,3003,4.0,1.0,338.53
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1455,4.0,2.0,86.42
Plot  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1406,3.0,3.0,61.3
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1905,3.0,1.0,227.09
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1130,2.0,0.0,51.84
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,967,2.0,0.0,131.63
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1268,2.0,3.0,93.69
Carpet  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1219,2.0,1.0,98.57
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,GrnSpce,2909,4.0,0.0,175.06
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1249,2.0,1.0,62.75
Built-up  Area,Ready To Move,Hebbal,5 BHK,GrnSpce,3574,6.0,3.0,278.55
Super built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,3146,4.0,1.0,192.8
Plot  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1517,3.0,1.0,70.66
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,900,2.0,2.0,39.67
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,GrnSpce,2872,4.0,2.0,356.63
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,912,2.0,1.0,85.89
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1949,3.0,3.0,127.99
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1733,3.0,1.0,78.95
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1690,3.0,3.0,100.65
Plot  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1031,2.0,1.0,61.36
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1024,2.0,2.0,57.74
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1902,3.0,2.0,131.99
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1078,3.0,2.0,67.2
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1877,3.0,3.0,99.38
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1653,3.0,0.0,118.58
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1517,4.0,0.0,77.05
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,994,2.0,2.0,71.24
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1047,2.0,0.0,73.17
Plot  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1609,4.0,3.0,249.71
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1755,3.0,3.0,123.69
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1806,4.0,1.0,87.77
Super built-up  Area,Ready To Move,Yelahanka,5 BHK,GrnSpce,4482,6.0,1.0,309.09
Plot  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1516,3.0,0.0,102.11
Plot  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1193,2.0,2.0,67.54
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1578,3.0,2.0,65.93
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1076,2.0,0.0,61.92
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1760,3.0,3.0,76.78
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1114,2.0,0.0,85.98
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,GrnSpce,518,1.0,3.0,24.04
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1512,3.0,1.0,229.56
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1187,2.0,2.0,65.86
Plot  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1454,3.0,2.0,65.56
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1842,3.0,2.0,118.98
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,950,2.0,2.0,56.71
Built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1851,4.0,3.0,267.7
Built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1229,3.0,2.0,138.21
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1785,3.0,2.0,157.5
Carpet  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1625,3.0,3.0,187.84
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,958,3.0,3.0,120.39
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,939,2.0,0.0,41.49
Plot  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1008,2.0,0.0,134.71
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,GrnSpce,541,2.0,0.0,24.91
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1741,3.0,1.0,106.55
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1854,3.0,0.0,120.29
Super built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,692,1.0,2.0,95.82
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1695,3.0,2.0,155.95
Plot  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1805,3.0,2.0,121.21
Carpet  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1126,2.0,2.0,80.68
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,972,2.0,0.0,114.38
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,941,2.0,3.0,41.57
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1923,3.0,1.0,229.01
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1729,4.0,0.0,211.99
Plot  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1480,3.0,0.0,88.4
Super built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1667,3.0,0.0,86.93
Built-up  Area,Ready To Move,Thanisandra,1 BHK,GrnSpce,614,1.0,0.0,38.86
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1271,2.0,2.0,48.47
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1587,3.0,3.0,82.93
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1763,3.0,2.0,129.88
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1507,4.0,1.0,217.69
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1540,3.0,2.0,106.52
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1217,2.0,0.0,161.47
Super built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1758,4.0,1.0,103.17
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1045,2.0,3.0,148.76
Super built-up  Area,Ready To Move,KR Puram,1 BHK,GrnSpce,642,2.0,0.0,37.08
Built-up  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1839,3.0,1.0,91.05
Built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,GrnSpce,2763,5.0,2.0,313.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1212,2.0,1.0,48.68
Super built-up  Area,Ready To Move,Uttarahalli,4 BHK,GrnSpce,2972,5.0,0.0,124.84
Plot  Area,Ready To Move,Kaggadasapura,5 BHK,GrnSpce,3918,5.0,1.0,215.38
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1168,3.0,1.0,57.2
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1722,3.0,3.0,197.23
Plot  Area,Ready To Move,Bannerghatta Road,1 BHK,GrnSpce,508,2.0,1.0,34.16
Plot  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1150,2.0,3.0,50.71
Super built-up  Area,Ready To Move,Bisuvanahalli,1 BHK,GrnSpce,527,1.0,0.0,13.74
Plot  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1136,2.0,2.0,67.41
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1970,3.0,2.0,80.78
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,906,2.0,3.0,81.99
Plot  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1825,3.0,2.0,246.04
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1923,4.0,0.0,70.51
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1759,4.0,0.0,264.81
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,973,2.0,2.0,54.71
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,936,2.0,1.0,40.24
Plot  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1421,3.0,1.0,69.53
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1626,4.0,0.0,53.95
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,957,2.0,2.0,76.25
Plot  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,998,3.0,0.0,39.39
Plot  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,983,2.0,1.0,111.04
Plot  Area,Ready To Move,Sarjapur Road,4 BHK,GrnSpce,3188,4.0,3.0,204.85
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1656,3.0,2.0,102.13
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1180,2.0,3.0,71.88
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1208,2.0,0.0,96.28
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1080,2.0,0.0,143.44
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,908,2.0,3.0,48.75
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1471,3.0,0.0,79.19
Built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1501,3.0,0.0,108.24
Plot  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,975,2.0,0.0,139.06
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1401,4.0,0.0,139.78
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1053,2.0,3.0,60.64
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1827,4.0,1.0,239.71
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1161,3.0,0.0,153.22
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1483,3.0,1.0,205.08
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1713,3.0,1.0,105.14
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,986,2.0,3.0,113.38
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1755,3.0,1.0,259.73
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1049,2.0,2.0,46.8
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,934,2.0,2.0,57.31
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,923,3.0,2.0,49.15
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1551,3.0,3.0,144.39
Plot  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1161,3.0,1.0,67.64
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1636,4.0,3.0,79.12
Carpet  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,913,2.0,1.0,61.3
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1901,3.0,1.0,102.92
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1427,3.0,2.0,82.09
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,GrnSpce,683,1.0,3.0,32.28
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,592,1.0,1.0,55.93
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,900,2.0,2.0,53.33
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1704,3.0,0.0,170.39
Carpet  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1007,3.0,1.0,114.6
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,900,3.0,0.0,57.85
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1078,2.0,0.0,68.25
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1239,2.0,1.0,96.14
Plot  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1274,3.0,3.0,171.33
Built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1592,3.0,1.0,88.39
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1937,3.0,0.0,227.23
Built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1546,4.0,0.0,116.17
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1119,2.0,1.0,156.24
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1144,3.0,0.0,71.18
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1031,2.0,1.0,72.89
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1243,3.0,0.0,84.09
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,GrnSpce,749,1.0,3.0,53.84
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1001,2.0,3.0,64.14
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1164,2.0,1.0,83.09
Super built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2211,5.0,0.0,124.07
Plot  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1442,3.0,2.0,77.0
Plot  Area,Ready To Move,Rajaji Nagar,1 BHK,GrnSpce,579,1.0,2.0,70.42
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1223,3.0,2.0,89.99
Built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1056,2.0,2.0,94.72
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1401,3.0,1.0,85.57
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1296,3.0,2.0,125.39
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1483,3.0,3.0,81.13
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1517,4.0,2.0,210.78
Plot  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1777,3.0,3.0,122.14
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1051,2.0,1.0,49.17
Plot  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1838,3.0,3.0,100.42
Plot  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1192,2.0,1.0,55.3
Carpet  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,976,2.0,1.0,59.98
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1773,3.0,1.0,144.97
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1701,4.0,3.0,112.16
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1752,3.0,0.0,102.82
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1095,2.0,0.0,78.76
Plot  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1099,2.0,1.0,129.05
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1029,2.0,1.0,144.13
Plot  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1876,3.0,0.0,132.91
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1299,2.0,2.0,64.82
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1147,3.0,3.0,51.21
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1560,3.0,2.0,82.38
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,965,2.0,0.0,162.4
Plot  Area,Ready To Move,Electronic City,4 BHK,GrnSpce,3034,4.0,2.0,121.47
Built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2515,4.0,1.0,114.47
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,981,2.0,1.0,112.58
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1925,3.0,3.0,288.03
Built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1105,2.0,1.0,72.19
Plot  Area,Ready To Move,Whitefield,4 BHK,GrnSpce,2535,4.0,1.0,180.48
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1040,2.0,0.0,50.78
Super built-up  Area,Ready To Move,Bellandur,4 BHK,GrnSpce,2327,4.0,3.0,171.26
Super built-up  Area,Ready To Move,Indiranagar,4 BHK,GrnSpce,3027,5.0,0.0,425.86
Carpet  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1781,3.0,0.0,74.82
