area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1652.0,3.0,2.0,108.11,3,6544.188861985472
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,997.0,2.0,3.0,61.71,2,6189.568706118355
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,GrnSpce,656.0,1.0,1.0,39.32,1,5993.90243902439
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1159.0,2.0,3.0,68.52,2,5911.993097497843
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1234.0,2.0,1.0,82.94,2,6721.231766612642
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1703.0,4.0,2.0,100.8,3,5918.966529653552
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1524.0,4.0,0.0,96.85,3,6354.98687664042
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,994.0,3.0,0.0,68.41,2,6882.293762575453
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1006.0,2.0,2.0,62.24,2,6186.878727634195
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1034.0,2.0,0.0,68.86,2,6659.574468085107
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1241.0,2.0,2.0,72.71,2,5858.9846897663165
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1583.0,3.0,0.0,102.2,3,6456.096020214782
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,930.0,2.0,0.0,59.82,2,6432.258064516129
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1178.0,2.0,2.0,76.58,2,6500.848896434635
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1594.0,4.0,3.0,97.44,3,6112.9234629861985
Plot  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1678.0,3.0,2.0,108.28,3,6452.920143027413
Super built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,GrnSpce,585.0,1.0,3.0,40.45,1,6914.529914529915
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,905.0,2.0,1.0,57.71,2,6376.795580110497
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1115.0,3.0,0.0,65.69,2,5891.479820627803
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,900.0,3.0,2.0,54.54,2,6060.0
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1057.0,2.0,2.0,63.03,2,5963.10312204352
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1155.0,2.0,3.0,69.36,2,6005.194805194805
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1980.0,3.0,1.0,128.42,3,6485.858585858585
Built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,GrnSpce,2676.0,5.0,2.0,177.64,4,6638.2660687593425
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1408.0,4.0,2.0,94.93,3,6742.1875
Carpet  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1191.0,2.0,3.0,82.44,2,6921.91435768262
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1415.0,3.0,2.0,83.64,3,5910.95406360424
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1713.0,3.0,1.0,111.6,3,6514.886164623467
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1964.0,3.0,1.0,134.94,3,6870.672097759674
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1069.0,2.0,0.0,73.48,2,6873.713751169317
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,956.0,2.0,3.0,60.17,2,6293.933054393306
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1272.0,2.0,2.0,86.75,2,6819.96855345912
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1715.0,3.0,3.0,109.25,3,6370.262390670554
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1089.0,2.0,0.0,68.66,2,6304.866850321396
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1944.0,3.0,0.0,113.48,3,5837.448559670782
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1054.0,2.0,0.0,61.27,2,5813.092979127135
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,GrnSpce,2687.0,5.0,2.0,166.91,4,6211.760327502791
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1244.0,2.0,0.0,81.25,2,6531.3504823151125
Super built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,GrnSpce,748.0,1.0,1.0,51.07,1,6827.540106951872
Carpet  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1668.0,3.0,3.0,123.21,3,7386.690647482014
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1158.0,2.0,1.0,85.89,2,7417.098445595855
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,965.0,2.0,1.0,73.85,2,7652.849740932642
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1902.0,3.0,2.0,131.99,3,6939.537329127234
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,994.0,2.0,2.0,71.24,2,7167.002012072434
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1755.0,3.0,3.0,123.69,3,7047.863247863248
Built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1501.0,3.0,0.0,108.24,3,7211.192538307795
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1239.0,2.0,1.0,96.14,2,7759.483454398709
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1223.0,3.0,2.0,89.99,2,7358.135731807032
Super built-up  Area,Ready To Move,Bellandur,4 BHK,GrnSpce,2327.0,4.0,3.0,171.26,4,7359.690588740868
Super built-up  Area,Ready To Move,Bellandur,5 BHK,GrnSpce,3648.0,5.0,2.0,263.55,5,7224.506578947368
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1025.0,2.0,0.0,80.65,2,7868.29268292683
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1891.0,3.0,1.0,129.19,3,6831.835007932311
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1075.0,2.0,2.0,77.31,2,7191.627906976744
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1504.0,3.0,0.0,121.93,3,8107.047872340426
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1513.0,4.0,3.0,103.83,3,6862.524785194977
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1087.0,2.0,0.0,78.62,2,7232.750689972401
Super built-up  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,740.0,1.0,1.0,55.47,1,7495.945945945946
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1081.0,3.0,3.0,76.54,2,7080.481036077706
Super built-up  Area,Ready To Move,Bellandur,4 BHK,GrnSpce,2347.0,4.0,1.0,182.99,4,7796.761823604602
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1181.0,3.0,3.0,95.02,2,8045.723962743437
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1814.0,3.0,0.0,141.64,3,7808.158765159867
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1673.0,3.0,3.0,136.02,3,8130.304841601914
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1208.0,2.0,2.0,84.57,2,7000.827814569537
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1751.0,3.0,3.0,141.74,3,8094.802969731582
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1470.0,3.0,1.0,103.58,3,7046.258503401361
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1215.0,2.0,0.0,83.93,2,6907.818930041152
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1554.0,3.0,2.0,114.51,3,7368.725868725869
Built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1279.0,2.0,3.0,102.16,2,7987.49022673964
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1287.0,2.0,0.0,99.39,2,7722.610722610722
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,916.0,2.0,2.0,69.71,2,7610.262008733624
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1250.0,2.0,0.0,89.71,2,7176.8
Built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1991.0,3.0,1.0,137.96,3,6929.181315921647
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1107.0,2.0,1.0,88.6,2,8003.613369467028
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1279.0,3.0,3.0,95.9,2,7498.045347928069
Super built-up  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,573.0,1.0,2.0,38.91,1,6790.575916230366
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1051.0,2.0,2.0,84.11,2,8002.854424357754
Super built-up  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,722.0,1.0,2.0,52.68,1,7296.398891966759
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1219.0,2.0,1.0,89.28,2,7324.036095159967
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1202.0,2.0,0.0,84.28,2,7011.647254575707
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1031.0,2.0,0.0,73.07,2,7087.2938894277395
Carpet  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1193.0,2.0,1.0,93.95,2,7875.1047778709135
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1586.0,4.0,1.0,107.94,3,6805.800756620429
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1027.0,3.0,1.0,81.96,2,7980.525803310613
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,989.0,2.0,2.0,66.92,2,6766.430738119312
Super built-up  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,525.0,1.0,2.0,40.98,1,7805.714285714284
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1153.0,2.0,2.0,79.78,2,6919.340849956635
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1677.0,3.0,1.0,122.12,3,7282.051282051282
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1012.0,2.0,0.0,70.73,2,6989.130434782609
Built-up  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,662.0,2.0,0.0,48.0,1,7250.755287009063
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1807.0,3.0,3.0,132.11,3,7311.012728278916
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1835.0,3.0,2.0,136.25,3,7425.068119891008
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1928.0,3.0,3.0,149.52,3,7755.186721991702
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1430.0,3.0,1.0,113.11,3,7909.79020979021
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1294.0,3.0,2.0,100.85,2,7793.663060278207
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1130.0,2.0,0.0,86.56,2,7660.1769911504425
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,937.0,2.0,2.0,72.43,2,7729.98932764141
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1608.0,3.0,2.0,117.61,3,7314.054726368159
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1259.0,3.0,2.0,102.82,2,8166.799046862589
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1211.0,2.0,3.0,90.72,2,7491.329479768786
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1172.0,2.0,0.0,80.82,2,6895.904436860067
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1116.0,2.0,2.0,77.16,2,6913.978494623656
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1231.0,2.0,2.0,94.86,2,7705.930138099106
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1289.0,3.0,1.0,100.53,2,7799.0690457719165
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1529.0,4.0,3.0,113.5,3,7423.152387181164
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1179.0,2.0,1.0,78.94,2,6695.504664970314
Built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,967.0,2.0,2.0,68.31,2,7064.1158221303
Built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1627.0,4.0,0.0,117.1,3,7197.295636140135
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1974.0,3.0,2.0,135.4,3,6859.169199594731
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1273.0,2.0,0.0,89.23,2,7009.42655145326
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1189.0,2.0,3.0,84.66,2,7120.26913372582
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1055.0,3.0,0.0,71.34,2,6762.085308056872
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1702.0,3.0,1.0,123.62,3,7263.219741480611
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1178.0,3.0,1.0,90.41,2,7674.872665534805
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1733.0,3.0,2.0,122.1,3,7045.5856895556835
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1126.0,2.0,1.0,85.83,2,7622.557726465364
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1162.0,2.0,0.0,83.59,2,7193.631669535284
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,910.0,2.0,2.0,66.74,2,7334.065934065933
Super built-up  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,549.0,1.0,3.0,44.43,1,8092.896174863388
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1042.0,3.0,2.0,84.25,2,8085.412667946257
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1992.0,4.0,0.0,148.35,3,7447.289156626506
Super built-up  Area,Ready To Move,Bellandur,4 BHK,GrnSpce,2397.0,4.0,3.0,160.92,4,6713.391739674593
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1653.0,3.0,0.0,135.2,3,8179.068360556563
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1802.0,3.0,0.0,145.96,3,8099.889012208657
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,995.0,2.0,1.0,80.99,2,8139.69849246231
Built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,941.0,2.0,2.0,72.71,2,7726.886291179595
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1098.0,2.0,2.0,88.13,2,8026.411657559199
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1613.0,4.0,0.0,117.5,3,7284.5629262244265
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1860.0,3.0,2.0,137.6,3,7397.8494623655915
Built-up  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,535.0,2.0,3.0,38.31,1,7160.747663551402
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1900.0,4.0,3.0,147.71,3,7774.210526315789
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1035.0,3.0,1.0,72.03,2,6959.420289855072
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,961.0,2.0,3.0,75.38,2,7843.912591050988
Carpet  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1617.0,3.0,0.0,114.94,3,7108.225108225109
Super built-up  Area,Ready To Move,Bellandur,4 BHK,GrnSpce,2967.0,4.0,3.0,232.53,4,7837.209302325581
Built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1945.0,4.0,1.0,132.11,3,6792.28791773779
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1833.0,4.0,0.0,122.92,3,6705.946535733769
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1261.0,2.0,3.0,89.05,2,7061.855670103093
Super built-up  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,579.0,1.0,0.0,44.22,1,7637.305699481865
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1497.0,3.0,2.0,120.95,3,8079.492317969271
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1081.0,2.0,3.0,87.45,2,8089.731729879741
Built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1186.0,2.0,2.0,82.65,2,6968.802698145026
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1042.0,3.0,1.0,75.9,2,7284.069097888677
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,944.0,2.0,1.0,67.2,2,7118.64406779661
Carpet  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1826.0,3.0,0.0,71.93,3,3939.2113910186204
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1207.0,2.0,2.0,48.52,2,4019.884009942005
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1271.0,2.0,2.0,48.47,2,3813.532651455547
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1923.0,4.0,0.0,70.51,3,3666.666666666667
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1874.0,3.0,2.0,78.19,3,4172.358591248666
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1237.0,2.0,1.0,49.8,2,4025.8690379951495
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1553.0,3.0,1.0,64.18,3,4132.646490663233
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1278.0,2.0,0.0,54.17,2,4238.654147104851
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1584.0,3.0,2.0,65.87,3,4158.459595959596
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1994.0,4.0,3.0,71.75,3,3598.294884653962
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1175.0,2.0,2.0,46.48,2,3955.744680851064
Super built-up  Area,Ready To Move,Bisuvanahalli,4 BHK,GrnSpce,2566.0,4.0,0.0,102.93,4,4011.3016367887762
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1290.0,2.0,0.0,46.46,2,3601.5503875968993
